Vibration_X_RMS,Vibration_X_Peak,Vibration_Y_RMS,Vibration_Y_Peak,Vibration_Z_RMS,Vibration_Z_Peak,Acoustic_Emission_RMS,Penetration_Rate_Avg,Rotation_Speed_Avg,Feed_Pressure_Avg,Hydraulic_Pressure_Avg,Hydraulic_Return_Pressure_Avg,Hydraulic_Oil_Temp_Avg,Flow_Rate_Avg,Differential_Pressure_Filter_Avg,Oil_Particle_Count_Avg,Oil_Moisture_Avg,Oil_Viscosity_Avg,Tank_Level_End,Drive_Motor_Current_Avg,Motor_Winding_Temp_Avg,drill_bit_health,striker_bar_health,drill_rod_health,coupling_sleeve_health,hydraulic_seal_health,hydraulic_hose_health,filter_health,rul_hours,failure_type,rock_hardness,drill_hours_since_overhaul,hour_in_session,session_id,ambient_temp_C
1.66,3.27,1.4,2.84,1.89,3.66,0.89,0.99,46.8,74.6,174.7,8.54,53.9,100.5,0.49,126,128,44.8,91.9,56.6,67.3,0,0,0,0,0,0,0,1955.8,none,4,0,0,0,21.7
1.65,3.23,1.41,2.98,1.91,3.76,0.83,0.99,48.5,70.0,176.9,7.6,55.9,96.1,0.5,126,119,45.4,91.9,54.6,67.8,0,0,0,0,0,0,0,1892.3,none,4,1,1,0,21.9
1.58,3.15,1.4,2.96,1.85,3.83,0.89,0.96,49.7,69.6,182.4,7.26,54.7,98.6,0.49,115,140,46.4,91.9,60.8,70.3,0,0,0,0,0,0,0,1810.5,none,4,2,2,0,21.7
1.69,3.64,1.46,2.94,1.9,3.65,0.82,0.99,46.6,70.0,181.1,8.67,54.2,98.5,0.47,128,127,43.9,91.9,59.3,68.2,0,0,0,0,0,0,0,1953.2,none,4,3,3,0,21.6
1.62,3.06,1.39,2.88,1.91,3.85,0.82,0.97,49.4,74.7,167.0,8.99,53.8,94.9,0.48,122,144,46.4,91.9,55.2,68.7,0,0,0,0,0,0,0,1888.1,none,4,4,4,0,21.7
1.62,3.26,1.48,2.85,1.94,3.62,0.82,1.0,49.7,73.1,177.3,9.07,54.4,96.6,0.47,125,131,45.7,91.9,57.0,70.5,0,0,0,0,0,0,0,1867.1,none,4,5,5,0,21.6
1.54,3.43,1.37,2.86,1.88,3.79,0.87,1.0,45.9,74.8,175.0,7.91,54.5,98.7,0.52,119,122,44.4,91.9,58.1,69.6,0,0,0,0,0,0,0,1904.7,none,4,6,6,0,21.9
1.6,3.34,1.47,2.82,1.98,3.83,0.85,1.04,49.2,74.3,174.5,9.52,52.3,97.7,0.44,126,135,46.3,91.9,58.3,68.9,0,0,0,0,0,0,0,1863.1,none,4,7,7,0,22.0
1.55,3.3,1.5,2.86,1.82,3.87,0.87,0.99,46.8,68.5,166.1,7.92,55.0,97.3,0.5,116,125,45.3,91.9,58.9,69.8,0,0,0,0,0,0,0,1888.8,none,4,8,8,0,21.9
1.52,3.23,1.51,3.03,1.89,3.73,0.83,0.98,50.1,70.2,175.1,8.07,53.7,100.4,0.5,122,142,44.9,91.9,58.0,65.8,0,0,0,0,0,0,0,1837.2,none,4,9,9,0,21.6
